Down on the Corner;Male Pop;02:42
No No No;Male Pop;02:59
Me and You and A Dog;Male Pop;03:02
Love My Dog;Male Pop;02:19
Cotton-Eyed Joe;Group;02:43
Harlem Congo;Jazz;02:54
La Sanconette;Instrumental;03:54
African Sky Blue;Group;03:51
Keep on Singing;Female Pop;03:04
No Woman No Cry;Reggae;03:52
John Henry;Mixed Pop;05:03
Streets of the City;Male;03:40
Photograph;Group Pop;03:25
Da Doo Run Run Run;Group Pop;02:27
Clothed Woman;Jazz;03:05
BetopHNue;Instrumental;04:19
Bruton Town;Female;04:08
Kentucky Woman;Male Pop;02:39
Wooly Bully;Group Pop;02:25
Marie Colere;Female Pop;02:51
Northern Lights;Jazz;04:34
Electricity;Instrumental Pop;03:26
Peaceful Revolution;Male;03:23
Ship of Fools;Group;03:19
Get Up Stand Up;Reggae;04:00
In Dust We Trust;Male;02:54
Be Bop Hop;Group Pop;04:34
Stop The Train;Reggae;02:27
Happy Days of Youth;Instrumental;03:10
Runaway;Group Pop;02:34
An Old-Fashioned Girl;Female;02:59
Delta Dawn;Female Pop;03:13
Raggle Taggle Gypsy;Group;03:12
December African Rain;Group;04:05
Galicia;Instrumental;04:23
Jazz 8;Jazz;03:10
No Words;Pop;02:29
Jet;Male Pop;04:06
Don't Sleep In The Subway;Female Pop;02:56
Nut Rocker;Instrumental;02:02
Bloubergse Strand;Female Vocalist;04:29
Night Time Out Here;Female Pop;02:13
I Should Be so Lucky;Female Pop;03:26
Caravan;Jazz;02:55
Clowns;Group Pop;03:29
Dancing in the Street;Female Vocalist;02:30
Locomotion;Instrumental Pop;03:57
Bad Moon Rising;Male Pop;02:23
Walk Tall;Male Pop;02:33
You Won't Find Another Fool;Group Pop;03:04
Sweet Caroline;Male Pop;03:16
Backstabbers;Jazz;00:45
Les Vendanges de l'Amour;Female Pop;02:33
The Script;Female;04:26
Hello Girl;Male Pop;03:06
Never Ending Love;Pop;03:02
Changing Your Demeanour;Group;03:17
Lookin out My Back Door;Male Pop;02:33
Who'll Stop the Rain;Male Pop;02:23
Fifth Track Otaba;Instrumental;03:40
Daphne;Jazz;05:03
Wild Thing;Group Pop;02:42
Anything She Does;Male Pop;05:00
Trench Town Rock;Reggae;02:47
Don't Let Your Deal Go Down;Group;03:36
Otaba e Joy;Instrumental;02:49
Song Sung Blue;Male Pop;03:13
White Vapour Trail;Male;02:51
So Much Trouble In The World;Reggae;03:56
Delaney's Donkey;Male;02:48
Blue Dew Jig;Instrumental;01:55
Pay Me My Money Down;Male;04:29
Crying ithout Emotion;Male Pop;03:33
Mon Amour, Mon Ami;Female Pop;02:10
Jazz 5;Jazz;03:18
Throwing it Away;Male Pop;03:41
Johnny Nobody;Male Pop;03:26
Heroes;Female Pop;03:58
Hope of Deliverance;Group Pop;03:25
Don't Let Me Be Misunderstood;Male Pop;02:23
We're Moving On;Group;02:13
Si J'Gagnais La Lotterie;Female;02:25
Here Comes My Baby;Male Pop;02:55
Damsel;Group Pop;05:16
Tom;Female;02:09
